,Unnamed: 0,X,Y,LSOA code,Unnamed: 0.1,Local authority name,Local authority code,MSOA name,MSOA code,LSOA name,Total_number_of_domestic_electricity_meters,Total_domestic_electricity_consumption_kWh,Predicted_Electricity_Consumption_kWH,Mean_domestic_electricity_consumption_kWh_per_meter,Median_domestic_electricity_consumption_kWh_per_meter,Year,Ratio_Consumption_per_Meter,Mean_price_paid
297662,33388,195430.709,199833.773,W01000574,399545.0,Pembrokeshire,W06000009,Pembrokeshire 015,W02000140,Pembrokeshire 015A,886.0,3994439.3,4510.138420131298,4508.396501,3501.4,2015.0,4508.396501128668,172172.999825
297536,34478,214684.236,236901.649,W01000560,399405.0,Pembrokeshire,W06000009,Pembrokeshire 001,W02000126,Pembrokeshire 001C,536.0,2768933.3,4830.629642322553,5165.920336,4368.15,2015.0,5165.920335820895,210477.142465
297981,34726,211807.756,200462.023,W01000610,399900.0,Pembrokeshire,W06000009,Pembrokeshire 016,W02000141,Pembrokeshire 016A,783.0,3542252.9,4345.302883198548,4523.950063856961,3392.4,2010.0,4523.950063856961,218508.43105
297960,33010,198578.217,201943.669,W01000607,399876.0,Pembrokeshire,W06000009,Pembrokeshire 015,W02000140,Pembrokeshire 015C,1011.0,3519268.5,3238.501912157272,3480.977745,2988.7,2016.0,3480.9777448071227,147505.40131500002
298016,34329,215978.91600000003,245786.749,W01000613,399938.0,Pembrokeshire,W06000009,Pembrokeshire 001,W02000126,Pembrokeshire 001E,1208.0,5121038.9,4373.905986334619,4239.2706130000015,2976.0,2018.0,4239.270612582782,225582.9046025
298099,33655,200988.276,221751.469,W01000623,400031.0,Pembrokeshire,W06000009,Pembrokeshire 004,W02000129,Pembrokeshire 004D,763.0,4087742.1,5264.455278440549,5357.460157,4218.1,2011.0,5357.4601572739175,210386.6342
298089,33654,186425.995,213612.906,W01000622,400020.0,Pembrokeshire,W06000009,Pembrokeshire 008,W02000133,Pembrokeshire 008E,932.0,4518996.8,4832.664604552125,4848.709012875536,3592.85,2010.0,4848.709012875536,223368.75
297721,32958,184547.026,231346.61,W01000581,399611.0,Pembrokeshire,W06000009,Pembrokeshire 003,W02000128,Pembrokeshire 003B,825.0,3678551.2,4585.803428565157,4458.849939,3626.4,2011.0,4458.849939393939,192108.4464875
297679,33386,212421.495,207427.437,W01000576,399564.0,Pembrokeshire,W06000009,Pembrokeshire 011,W02000136,Pembrokeshire 011D,963.0,4159707.0,4352.597983676094,4320.0,3239.0,2014.0,4319.529595015576,157709.9121975
297502,33761,187924.848,220570.653,W01000556,399367.0,Pembrokeshire,W06000009,Pembrokeshire 008,W02000133,Pembrokeshire 008B,681.0,2591895.3,4283.425848531937,3806.013656,2982.5,2017.0,3806.013656387665,215843.75
297896,33019,196717.964,203478.811,W01000600,399805.0,Pembrokeshire,W06000009,Pembrokeshire 013,W02000138,Pembrokeshire 013A,1002.0,3139691.5,3298.4938282107137,3133.424651000001,2598.45,2015.0,3133.424650698603,101999.55357250001
297644,33390,195873.638,216401.264,W01000572,399525.0,Pembrokeshire,W06000009,Pembrokeshire 005,W02000130,Pembrokeshire 005D,815.0,2780476.5,3450.7728258912557,3411.627607,3030.7,2015.0,3411.6276073619633,155008.16294500002
297515,33769,219717.248,242668.119,W01000558,399382.0,Pembrokeshire,W06000009,Pembrokeshire 001,W02000126,Pembrokeshire 001A,933.0,4319984.3,4543.387740168139,4630.208253,3680.7,2012.0,4630.208252947481,158365.6221175
298105,33655,200988.276,221751.469,W01000623,400037.0,Pembrokeshire,W06000009,Pembrokeshire 004,W02000129,Pembrokeshire 004D,791.0,3910782.9,4683.939822970847,4944.099747,3857.8,2017.0,4944.099747155499,205186.91277249999
297881,34290,196357.8,205433.301,W01000598,399788.0,Pembrokeshire,W06000009,Pembrokeshire 009,W02000134,Pembrokeshire 009C,1111.0,3550620.233,3464.2450446249377,3195.877798,2765.3,2018.0,3195.877797479748,142594.31227
297963,33023,198410.975,201197.149,W01000608,399880.0,Pembrokeshire,W06000009,Pembrokeshire 015,W02000140,Pembrokeshire 015D,773.0,2738014.15,3500.2814712467375,3542.0622897800777,2834.3,2010.0,3542.0622897800777,142409.5833325
297745,32954,212075.911,219681.855,W01000583,399637.0,Pembrokeshire,W06000009,Pembrokeshire 004,W02000129,Pembrokeshire 004B,573.0,2589607.4,4530.552986356584,4519.384642,3635.1,2017.0,4519.3846422338565,204216.10391
297775,32947,190771.85,205934.258,W01000587,399671.0,Pembrokeshire,W06000009,Pembrokeshire 010,W02000135,Pembrokeshire 010A,1171.0,4121993.2,3582.0478268596858,3520.062511,2824.7,2011.0,3520.062510674637,126413.01253250001
297546,34479,219810.688,232148.412,W01000561,399416.0,Pembrokeshire,W06000009,Pembrokeshire 001,W02000126,Pembrokeshire 001D,505.0,2562144.3,5090.417610922496,5073.553069,4023.9,2016.0,5073.5530693069295,156271.5904325
297635,33393,194373.286,215425.982,W01000571,399515.0,Pembrokeshire,W06000009,Pembrokeshire 006,W02000131,Pembrokeshire 006A,1141.0,3922396.4,3541.6477860124623,3437.683085,3046.3,2015.0,3437.6830850131464,134219.75234500002
297931,34687,196721.485,202652.943,W01000604,399844.0,Pembrokeshire,W06000009,Pembrokeshire 013,W02000138,Pembrokeshire 013E,678.0,2306294.0,3535.8880122391497,3402.0,3042.0,2014.0,3401.6135693215333,120550.0
297578,34730,195867.064,237024.238,W01000565,399452.0,Pembrokeshire,W06000009,Pembrokeshire 002,W02000127,Pembrokeshire 002B,1019.0,3368613.6,3576.4888543723328,3305.803337000001,2648.4,2012.0,3305.8033366045147,171561.3284325
297641,33390,195873.638,216401.264,W01000572,399522.0,Pembrokeshire,W06000009,Pembrokeshire 005,W02000130,Pembrokeshire 005D,815.0,2932751.2,3568.081941088491,3598.46773,3064.8,2012.0,3598.4677300613507,132747.55109249998
297882,34288,195876.397,205490.6,W01000599,399790.0,Pembrokeshire,W06000009,Pembrokeshire 009,W02000134,Pembrokeshire 009D,955.0,3875494.0,3934.9218601628945,4058.1089005235604,3500.45,2010.0,4058.1089005235604,154984.9034325
297903,33021,197616.912,203222.439,W01000601,399813.0,Pembrokeshire,W06000009,Pembrokeshire 013,W02000138,Pembrokeshire 013B,610.0,2021350.2,3361.1044903398197,3313.688853,2967.2,2013.0,3313.6888524590167,52395.0
